neighbourhood,listings,price_mean,price_median,reviews_mean
ADRIANO,51,93.74509803921569,50.0,0.3976470588235294
AFFORI,145,80.4,54.0,0.36917241379310345
BAGGIO,46,50.891304347826086,45.0,0.3489130434782609
BANDE NERE,326,91.83128834355828,60.0,0.3828834355828221
BARONA,45,64.15555555555555,45.0,0.5579999999999999
BICOCCA,47,57.297872340425535,59.0,0.5468085106382978
BOVISA,186,100.58602150537635,54.0,0.6085483870967742
BOVISASCA,10,55.2,50.0,0.262
BRERA,713,255.18513323983169,120.0,0.7029172510518934
BRUZZANO,41,51.707317073170735,36.0,0.47341463414634144
BUENOS AIRES - VENEZIA,1373,111.72469045884924,80.0,0.6838164603058995
CANTALUPA,7,77.85714285714286,39.0,0.1757142857142857
CASCINA TRIULZA - EXPO,1,209.0,209.0,0.0
CENTRALE,689,109.93468795355588,72.0,1.115834542815675
CHIARAVALLE,4,105.75,107.5,0.0325
CITTA' STUDI,461,80.31887201735358,60.0,0.49260303687635576
COMASINA,28,116.25,60.5,0.28750000000000003
CORSICA,204,85.43627450980392,62.0,0.3742156862745098
DE ANGELI - MONTE ROSA,305,96.54426229508196,79.0,0.46934426229508197
DERGANO,247,73.4251012145749,55.0,0.46202429149797575
DUOMO,1003,191.32901296111666,120.0,0.9293818544366899
EX OM - MORIVIONE,105,94.87619047619047,70.0,0.22485714285714284
FARINI,88,116.42045454545455,70.0,0.44272727272727275
FIGINO,6,56.5,55.0,0.27499999999999997
FORZE ARMATE,55,64.81818181818181,50.0,0.4716363636363637
GALLARATESE,123,77.51219512195122,55.0,0.40211382113821137
GARIBALDI REPUBBLICA,226,137.36725663716814,90.0,0.5973893805309735
GHISOLFA,243,85.32921810699588,65.0,0.37703703703703706
GIAMBELLINO,321,106.18380062305296,60.0,0.353208722741433
GIARDINI PORTA VENEZIA,20,241.7,90.5,0.7575000000000001
GRATOSOGLIO - TICINELLO,35,82.57142857142857,45.0,0.5562857142857143
GRECO,131,87.19083969465649,55.0,0.6806106870229007
GUASTALLA,348,179.66379310344828,98.5,0.5468103448275862
ISOLA,644,108.5776397515528,75.0,0.5999844720496894
LAMBRATE,117,97.74358974358974,65.0,0.4585470085470085
LODI - CORVETTO,314,113.88535031847134,59.0,0.43401273885350317
LORENTEGGIO,64,62.875,51.5,0.27234375
LORETO,725,76.37379310344828,60.0,0.6108827586206896
MACIACHINI - MAGGIOLINA,265,90.28301886792453,64.0,0.7169811320754716
MAGENTA - S. VITTORE,415,149.2313253012048,100.0,0.5749397590361446
MAGGIORE - MUSOCCO,66,57.196969696969695,53.0,0.6728787878787879
MECENATE,88,69.2840909090909,55.0,0.5235227272727273
MUGGIANO,2,60.0,60.0,0.195
NAVIGLI,875,124.12457142857143,80.0,0.6312457142857143
NIGUARDA - CA' GRANDA,133,62.142857142857146,50.0,0.43646616541353384
ORTOMERCATO,43,137.4418604651163,58.0,0.32906976744186045
PADOVA,327,72.6697247706422,54.0,0.46076452599388373
PAGANO,199,133.9246231155779,91.0,0.44120603015075377
PARCO AGRICOLO SUD,8,286.0,105.0,0.1275
PARCO BOSCO IN CITT,4,57.0,47.0,0.375
PARCO DEI NAVIGLI,9,73.33333333333333,70.0,0.08444444444444445
PARCO DELLE ABBAZIE,11,58.09090909090909,54.0,0.29090909090909095
PARCO FORLANINI - ORTICA,43,80.62790697674419,50.0,0.342093023255814
PARCO LAMBRO - CIMIANO,160,67.3375,58.0,0.340375
PARCO MONLUE' - PONTE LAMBRO,21,63.38095238095238,51.0,0.5647619047619047
PARCO NORD,3,78.33333333333333,50.0,0.09000000000000001
PARCO SEMPIONE,24,128.125,92.5,0.9408333333333334
PORTA ROMANA,381,97.66404199475066,77.0,0.5861417322834646
PORTELLO,94,203.11702127659575,80.0,0.49372340425531913
QT 8,38,90.44736842105263,65.5,0.5847368421052631
QUARTO CAGNINO,26,85.73076923076923,52.5,0.22192307692307692
QUARTO OGGIARO,66,59.57575757575758,50.0,0.4734848484848485
QUINTO ROMANO,15,66.86666666666666,50.0,0.21
QUINTOSOLE,1,41.0,41.0,0.7
RIPAMONTI,103,71.7864077669903,60.0,0.5305825242718446
ROGOREDO,35,76.25714285714285,73.0,0.30542857142857144
RONCHETTO SUL NAVIGLIO,96,73.90625,55.0,0.2870833333333333
S. CRISTOFORO,271,101.39114391143912,69.0,0.4058671586715867
S. SIRO,94,110.54255319148936,70.0,0.48042553191489357
SACCO,6,213.33333333333334,115.0,0.215
SARPI,806,116.49751861042184,80.0,0.599181141439206
SCALO ROMANA,137,99.03649635036497,60.0,0.31715328467153286
SELINUNTE,147,84.68707482993197,69.0,0.6637414965986395
STADERA,275,67.2,50.0,0.4305818181818182
STEPHENSON,5,127.8,138.0,0.0
TIBALDI,273,88.71794871794872,66.0,0.45695970695970695
TICINESE,749,119.7716955941255,80.0,0.6779839786381843
TORTONA,460,123.1304347826087,80.0,0.35434782608695653
TRE TORRI,24,468.1666666666667,125.0,0.30041666666666667
TRENNO,13,62.61538461538461,59.0,0.21461538461538462
TRIULZO SUPERIORE,13,54.30769230769231,40.0,0.34923076923076923
UMBRIA - MOLISE,247,84.38866396761134,65.0,0.49834008097165994
VIALE MONZA,216,73.15277777777777,57.0,0.5482407407407407
VIGENTINA,267,111.52059925093633,75.0,0.5738951310861423
VILLAPIZZONE,325,83.45846153846153,55.0,0.5150461538461538
WASHINGTON,362,104.47790055248619,80.0,0.5253314917127071
XXII MARZO,584,132.21917808219177,80.0,0.4748801369863013
