neighbourhood,listings,price_mean,price_median,reviews_mean
Ashfield,306,140.281045751634,80.0,0.7519281045751635
Auburn,469,143.45628997867803,136.0,1.839445628997868
Bankstown,180,93.84444444444445,70.0,0.715
Blacktown,237,84.22362869198312,61.0,0.8429535864978903
Botany Bay,600,118.245,82.0,1.0496833333333333
Burwood,249,95.60240963855422,79.0,0.769277108433735
Camden,29,95.55172413793103,76.0,0.6413793103448276
Campbelltown,101,132.2871287128713,84.0,0.74
Canada Bay,449,159.91759465478842,111.0,0.7683964365256124
Canterbury,339,113.47492625368731,80.0,0.8188200589970501
City Of Kogarah,179,98.42458100558659,71.0,0.8368715083798883
Fairfield,76,82.69736842105263,57.5,1.1102631578947368
Holroyd,125,97.152,60.0,0.53976
Hornsby,391,149.97442455242967,90.0,0.8817391304347826
Hunters Hill,69,271.8550724637681,150.0,0.7295652173913044
Hurstville,195,121.73846153846154,79.0,0.6881025641025641
Ku-Ring-Gai,339,159.81120943952803,109.0,0.6307374631268436
Lane Cove,289,300.10726643598616,120.0,0.6533910034602075
Leichhardt,999,218.55855855855856,150.0,0.7456156156156156
Liverpool,116,125.64655172413794,98.0,0.870603448275862
Manly,1799,280.22178988326846,197.0,0.4878765981100612
Marrickville,1251,122.00879296562749,90.0,0.7725259792166267
Mosman,534,383.27153558052436,199.0,0.5293820224719101
North Sydney,1370,203.5153284671533,145.0,0.6933357664233577
Parramatta,520,106.85961538461538,80.0,0.9149807692307693
Penrith,132,153.13636363636363,120.0,1.3617424242424243
Pittwater,1192,496.5981543624161,350.0,0.699756711409396
Randwick,3346,188.19784817692766,120.0,0.43691572026300063
Rockdale,727,126.07290233837689,90.0,0.932585969738652
Ryde,575,110.98086956521739,84.0,0.7202260869565217
Strathfield,171,102.70760233918129,76.0,1.0049707602339182
Sutherland Shire,468,200.72649572649573,134.0,1.1580769230769232
Sydney,9238,175.22569820307424,138.0,1.167659666594501
The Hills Shire,260,157.80384615384617,84.0,0.7887692307692308
Warringah,1794,266.16778149386846,160.0,0.4117335562987737
Waverley,5466,243.37285034760336,150.0,0.4546597145993414
Willoughby,500,185.812,125.0,0.59738
Woollahra,1573,298.7927527018436,165.0,0.4845645263827082
