neighbourhood,listings,price_mean,price_median,reviews_mean
Adachi Ku,172,7664.186046511628,5972.0,1.0955813953488371
Akiruno Shi,12,4895.75,4519.0,0.9633333333333334
Akishima Shi,3,19153.333333333332,3874.0,0.83
Arakawa Ku,279,12136.605734767025,9039.0,1.5634408602150538
Bunkyo Ku,129,13656.98449612403,10007.0,2.465658914728682
Chiyoda Ku,198,40924.34848484849,12482.0,1.3844444444444444
Chofu Shi,11,9821.09090909091,6994.0,2.1363636363636362
Chuo Ku,448,15312.107142857143,12051.0,1.9720982142857142
Edogawa Ku,201,11781.52736318408,8500.0,1.5633830845771144
Fuchu Shi,4,12132.25,12374.5,2.1174999999999997
Fussa Shi,5,6004.2,3443.0,0.906
Hachijo Machi,7,10929.285714285714,14957.0,0.8714285714285713
Hachioji Shi,37,53410.97297297297,6026.0,0.8240540540540541
Hamura Shi,3,6241.0,6026.0,0.3333333333333333
Higashikurume Shi,2,4250.0,4250.0,0.0
Higashimurayama Shi,12,6483.0,4842.0,1.6875
Higashiyamato Shi,1,3013.0,3013.0,4.18
Hino Shi,16,4122.3125,2905.0,1.070625
Hinohara Mura,2,27492.5,27492.5,0.74
Inagi Shi,2,2744.0,2744.0,0.31
Itabashi Ku,237,12827.29535864979,6994.0,1.8303375527426162
Katsushika Ku,280,11909.939285714287,9899.5,1.6535
Kita Ku,217,11434.497695852535,7962.0,1.8333640552995392
Kodaira Shi,8,4895.875,5057.5,1.46125
Koganei Shi,4,7263.0,7263.0,2.11
Kokubunji Shi,9,4818.0,4519.0,1.4388888888888889
Komae Shi,6,14400.5,14042.0,2.81
Koto Ku,152,12116.453947368422,9361.0,2.2836184210526316
Kozushima Mura,1,9039.0,9039.0,0.05
Kunitachi Shi,3,3981.0,3981.0,0.3333333333333333
Machida Shi,24,4756.875,4304.0,0.9133333333333334
Meguro Ku,84,13705.047619047618,10652.5,2.2215476190476187
Minato Ku,551,15488.53720508167,12051.0,1.6491833030852996
Mitaka Shi,13,12581.076923076924,6564.0,1.4023076923076923
Miyake Mura,2,15010.5,15010.5,0.0
Musashimurayama Shi,5,3271.0,3551.0,1.49
Musashino Shi,18,8859.111111111111,8715.5,1.7016666666666667
Nakano Ku,290,17621.76896551724,10975.0,2.3224827586206898
Nerima Ku,62,6811.806451612903,5810.5,1.3120967741935483
Niijima Mura,3,10007.0,10007.0,1.29
Nishitokyo Shi,19,8636.368421052632,3981.0,1.3336842105263158
Ogasawara Mura,6,6904.333333333333,6456.0,0.08333333333333333
Okutama Machi,3,21412.666666666668,21951.0,1.99
Ome Shi,7,6594.428571428572,3551.0,0.6942857142857142
Oshima Machi,22,8529.772727272728,7962.0,0.4268181818181818
Ota Ku,598,11029.538461538461,7962.0,1.520886287625418
Setagaya Ku,305,11879.52786885246,8931.0,2.036360655737705
Shibuya Ku,854,20269.76580796253,14365.0,2.3978337236533958
Shinagawa Ku,170,14235.041176470588,10007.0,1.9764705882352942
Shinjuku Ku,1882,15822.026036131774,12051.0,2.1464665249734325
Suginami Ku,299,11359.658862876255,7532.0,1.8603010033444816
Sumida Ku,876,13614.052511415524,12051.0,1.9760045662100456
Tachikawa Shi,6,9307.333333333334,7962.0,0.5133333333333333
Taito Ku,1670,15229.270658682635,10007.0,1.9098622754491017
Tama Shi,4,5676.0,4734.5,1.45
Toshima Ku,1228,14426.180781758958,10007.0,2.0271498371335506
